City,CO,NO2,O3,SO2,PM2.5,PM10
Denver,687.6,39.07,18.42,3.04,18.19,23.55
Provo,500.68,24.68,21.1,0.69,16.87,20.5
Hampton,273.71,2.96,87.26,2.38,20.18,22.63
Birmingham,230.31,7.2,61.51,2.09,0.5,0.64
Greeley,253.68,6.26,38.62,0.1,1.74,2.49
Spring Valley,250.34,14.22,74.39,6.02,4.88,11.03
Tustin,841.14,65.8,15.2,6.56,18.42,35.19
Springfield,240.33,1.41,62.94,1.86,0.5,0.7
Fort Wayne,240.33,1.97,67.23,0.73,0.99,1.34
Santa Ana,841.14,65.8,15.2,6.56,18.42,35.19
Dayton,267.03,4.24,49.35,0.69,1.05,1.48
Redondo Beach,1214.98,79.51,8.67,11.21,33.54,56.24
Shawnee,257.02,5.44,56.51,2.53,0.99,2.15
Bethlehem,273.71,44.55,30.04,4.83,11.19,22.94
Pasadena,263.69,14.22,59.37,1.67,3.28,14.4
Somerville,377.18,35.3,27.9,5.96,5.91,7.3
Muncie,267.03,5.36,54.36,3.04,1.57,2.04
Sparks,514.03,24.33,15.02,1.03,15.12,37.9
Compton,1214.98,79.51,8.67,11.21,33.54,56.24
Jurupa Valley,303.75,16.97,58.65,1.43,4.15,16.23
Buena Park,727.65,45.93,11.8,4.29,17.23,31.85
Tampa,283.72,15.42,76.53,1.19,4.0,8.57
Midland,236.99,1.8,54.36,0.23,7.74,8.17
Rialto,223.64,4.5,75.82,0.48,3.0,16.42
Pomona,220.3,5.57,66.52,0.65,2.6,12.28
Arlington,277.04,9.34,34.69,1.33,5.42,5.87
Portland,754.36,40.78,0.61,1.04,24.77,28.41
Kenosha,240.33,1.59,66.52,0.31,0.5,0.7
Racine,243.66,2.12,67.23,0.65,0.5,0.78
Garden Grove,841.14,65.8,15.2,6.56,18.42,35.19
Longview,250.34,6.08,31.47,0.89,6.85,14.4
Detroit,273.71,6.6,51.5,1.49,0.96,1.52
Temple,213.62,4.37,50.78,0.48,4.46,9.29
Mountain View,961.3,73.34,10.37,8.46,35.25,43.33
Omaha,243.66,3.47,61.51,0.29,0.72,1.72
Athens-Clarke County unified government,253.68,6.86,79.39,3.58,12.56,16.88
Scottsdale,453.95,23.99,28.25,0.95,8.34,18.52
Scranton,263.69,4.5,60.08,2.12,5.8,6.71
Union City,961.3,74.03,6.71,6.26,33.91,50.84
New Britain,165.22,0.04,12.7,5.13,3.05,3.15
El Cajon,447.27,21.94,18.24,1.65,6.44,13.09
Kenner,247.0,12.34,90.84,5.25,6.93,11.23
Allen,250.34,3.98,42.2,0.51,4.02,4.22
East Los Angeles,263.69,14.22,59.37,1.67,3.28,14.4
Saint Louis,240.33,2.49,67.23,0.48,0.68,1.38
Pleasanton,674.25,63.06,14.48,12.28,20.71,28.61
Gulfport,216.96,0.81,98.71,0.59,6.36,10.26
Wilmington,287.06,7.28,65.09,4.23,12.08,15.59
Centreville,260.35,2.55,65.09,0.52,12.95,14.64
Kirkland,554.09,28.45,0.72,0.69,10.64,17.03
Escondido,270.37,8.4,58.65,0.78,2.19,8.19
Macon,213.62,3.38,57.94,4.59,9.82,12.82
Kennewick,323.77,14.05,11.62,0.14,6.17,7.77
Edinburg,223.64,4.71,64.37,0.98,0.5,0.59
Fishers,250.34,2.49,57.94,0.78,1.62,2.05
Brandon,210.29,1.24,80.11,0.08,0.5,0.57
Marysville,283.72,8.4,28.97,0.05,1.16,1.91
Schenectady,290.39,16.62,43.99,1.24,2.29,3.03
Columbus,260.35,3.47,53.64,0.4,0.82,1.08
Erie,253.68,4.8,62.23,3.1,0.7,0.9
Kendall,223.64,5.44,74.39,1.76,2.12,3.85
Albany,300.41,19.36,48.64,3.04,2.58,3.31
Saint Charles,240.33,2.36,66.52,0.5,0.66,1.18
Hartford,297.07,11.82,52.93,2.06,2.25,3.92
Waldorf,236.99,5.66,75.1,0.53,0.5,0.71
Apple Valley,230.31,1.63,81.54,0.89,0.5,0.75
Danbury,317.1,20.56,59.37,3.76,3.82,7.01
Jersey City,343.8,27.76,50.78,6.14,6.6,11.44
Metairie,323.77,19.54,77.25,5.13,9.47,13.94
Rio Rancho,195.27,0.8,71.53,0.21,1.76,7.44
Hemet,313.76,9.25,26.82,0.26,3.47,9.12
Cleveland,253.68,4.37,60.8,2.71,0.71,0.99
Thornton,397.21,19.54,34.69,0.42,7.33,10.39
Columbia,226.97,1.41,77.25,1.18,11.43,14.06
Enterprise,210.29,0.68,92.98,0.26,8.49,12.09
Ellicott City,333.79,12.0,50.07,2.92,13.64,17.26
Bk,397.21,46.61,36.48,11.33,8.46,13.99
Houston,280.38,23.99,61.51,7.63,6.2,13.78
Oceanside,277.04,10.97,54.36,1.4,3.03,11.16
Orange,257.02,12.68,26.46,1.0,3.02,3.72
German,203.61,1.74,51.5,0.59,4.99,7.4
Pittsburg,287.06,7.97,41.84,3.79,1.63,2.29
Berkeley,620.84,43.87,5.14,8.94,16.45,25.66
New Bedford,260.35,6.6,54.36,2.71,0.86,1.6
Carlsbad,277.04,10.97,54.36,1.4,3.03,11.16
Alexandria,200.27,2.34,87.26,1.49,6.02,14.45
Overland Park,277.04,8.4,51.5,3.13,1.26,2.4
Melbourne,247.0,18.68,1.3,5.6,8.19,12.44
Sioux Falls,230.31,2.06,67.23,0.12,0.6,1.46
Huntsville,230.31,6.34,57.94,1.54,7.83,12.66
Turlock,527.38,18.51,7.15,1.13,15.41,22.57
Gainesville,230.31,0.93,118.73,1.16,11.43,14.71
Champaign,243.66,1.65,63.66,0.34,0.5,0.69
Inglewood,1214.98,79.51,8.67,11.21,33.54,56.24
Saint Joseph,216.96,1.76,74.39,0.63,0.7,1.57
Brockton,380.52,28.45,26.11,3.55,5.47,7.8
Tulsa,233.65,4.54,62.23,2.65,0.78,1.44
North Las Vegas,201.94,0.87,56.51,0.04,2.0,11.42
Westminster,233.65,18.68,50.78,6.44,0.87,1.11
Lakewood,313.76,12.51,44.7,0.26,3.28,7.08
San Jose,961.3,71.29,6.44,10.97,33.94,42.8
Irvine,841.14,65.8,15.2,6.56,18.42,35.19
Bossier City,257.02,14.4,34.69,1.73,7.03,13.25
Columbus,260.35,3.47,53.64,0.4,0.82,1.08
Clearwater,226.97,5.48,98.71,1.24,3.54,7.36
Syracuse,270.37,9.85,75.82,85.83,25.15,27.34
Palm Bay,205.28,0.91,91.55,0.39,2.15,5.4
Vacaville,317.1,16.28,26.46,0.23,3.45,5.81
Glen Burnie,380.52,19.19,42.2,5.07,16.47,20.67
Broomfield,360.49,14.74,45.42,0.28,5.27,8.64
Pittsburgh,287.06,7.97,41.84,3.79,1.63,2.29
